region,pos_sig_diff,neg_sig_diff,pos_trend,neg_trend,pos_diff_m2,neg_diff_m2,pos_pixels,neg_pixels,total_pixels,neg_area,pos_area,total_area,pos_diff_km2,neg_diff_km2,pos_diff_hct,neg_diff_hct,net_diff_hct,percent_positive,percent_negative,country
Savanes,0.00019263142205164235,0.000629927578988,8.916943929197258e-06,3.401613686900061e-05,952.07924,3113.24383,290685,1081258,9885681,0.023247047,0.0062497275,4671543.44618,9.5207924,31.132438299999997,0.95207924,3.11324383,-2.16116459,2.675658515007715e-07,9.952619414900017e-07,Togo
Kassala,0.00016901405767451544,0.0078203482950379,9.45393077250232e-06,0.000379871724314434,835.421315,38655.9939,243867,9416619,54374581,0.2024573085,0.0052431405,25693488.95399,8.35421315,386.559939,0.835421315,38.6559939,-37.820572585,2.2447144334223862e-07,8.667683853633118e-06,Sudan
Sennar,0.0009601537928732023,0.02683721072934662,4.4089379118117695e-05,0.0013689517123614844,4745.663771525,132644.6578566955,923550,44372459,217480538,0.9540078685,0.019856325,102773955.81596,47.456637715250004,1326.446578566955,4.745663771525,132.6446578566955,-127.8989940851705,8.500969852367253e-07,4.084336919867922e-05,Sudan
South Kordofan,0.0009442821413169926,0.011540221511931773,4.905059525157993e-05,0.0006291099341763736,4667.3552137737,57039.6158646931,1759701,16368561,479449976,0.3519240615,0.0378335715,226569857.13973,46.673552137737,570.396158646931,4.6673552137737,57.039615864693104,-52.3722606509194,1.6197461047242169e-06,1.5066714697377983e-05,Sudan
Gedaref,0.001213940010203248,0.020180578822295507,6.018839110489247e-05,0.0009778127504527878,6000.16495183,99747.3647,1506832,30964951,173002755,0.6657464465,0.032396888,81752010.30815,60.0016495183,997.473647,6.00016495183,99.7473647,-93.74719974817,1.3869886204950736e-06,2.850220507076273e-05,Sudan
Central Darfur,0.0001829423442416043,0.00032695016275606937,1.0287522062151842e-05,1.6154439891131247e-05,904.1780231512,1616.2181775469999,261187,460161,74141497,0.009893461499999999,0.0056155204999999995,35036575.84635,9.041780231512,16.16218177547,0.9041780231512,1.616218177547,-0.7120401543958,2.4041392591957615e-07,4.2356285942668693e-07,Sudan
North Kordofan,0.001853925315022098,0.0007222994816769172,0.00010464579622658072,3.419003766346322e-05,9163.9447053,3569.689123,4286387,1749205,49421736,0.0376079075,0.0921573205,23357717.2309,91.639447053,35.69689123,9.1639447053,3.569689123,5.594255582300001,3.945476331825988e-06,1.6100848866450176e-06,Sudan
Blue Nile,0.0001402242129111822,0.007256780686128246,5.57750056258918e-06,0.0003950985692467759,692.99052343,35865.823174078,142829,11696113,177935590,0.2514664295,0.0030708235,84087782.03124,6.9299052343,358.65823174078,0.69299052343,35.865823174078,-35.172832650648004,1.3146933279668262e-07,1.0765882085743133e-05,Sudan
North Darfur,0.00035768576189664994,0.0011173150875227545,2.147317309007372e-05,5.648880843364126e-05,1767.8010454919001,5522.670586378,670267,2466076,197709176,0.053020634,0.014410740500000001,93430868.9236,17.678010454919,55.22670586378,1.7678010454919,5.522670586378,-3.7548695408861,6.169584278097171e-07,2.2699407427477046e-06,Sudan
South Darfur,0.004674745547680539,0.008818294496632082,0.00023306248207562334,0.00047707028890200015,23106.84408471,43586.301018342,5846992,13061724,311386727,0.280827066,0.125710328,147153618.55467,231.0684408471,435.86301018342,23.10684408471,43.586301018342,-20.479456933632,5.38196120611039e-06,1.202288148383323e-05,Sudan
West Darfur,0.0006299839580321936,0.001335818997491573,3.3360344247126165e-05,7.006664594109855e-05,3113.8924981,6603.7040271999995,1056182,3551447,148285217,0.0763561105,0.022707913,70073151.6927,31.138924981,66.037040272,3.1138924981000002,6.6037040272,-3.4898115291,9.721803194859996e-07,3.268988563616493e-06,Sudan
West Kordofan,0.003951810129739099,0.007330600158404445,0.00020941814968472418,0.0003546520275996238,19533.166307312,36234.88001977,6756379,14947307,390461061,0.3213671005,0.1452621485,184525966.12411,195.33166307312,362.3488001977,19.533166307312,36.23488001977,-16.701713712457998,6.219021622020162e-06,1.3758497772841535e-05,Sudan
White Nile,1.4855352057186827e-05,0.0028315843884661298,6.204831311285018e-07,0.00015416925460253527,73.427983,13996.644709,22256,3437601,29659267,0.0739084215,0.00047850400000000004,14014630.338539999,0.73427983,139.96644709,0.073427983,13.996644709,-13.923216726,2.0485906018546434e-08,3.164197116070328e-06,Sudan
East Darfur,0.003387453183606455,0.011768194611111069,0.00017653467277347324,0.0005945452335829333,16744.48473453,58165.456275794,5303350,23217066,291617589,0.499166919,0.114022025,137810531.66231,167.4448473453,581.65456275794,16.74448473453,58.165456275794,-41.420971541264,4.881556869314262e-06,2.137053523105633e-05,Sudan
Aj Jazirah,0.00014387741088759117,0.0014303341710034,7.319627909165916e-06,6.473334834111792e-05,711.00316,7068.32374,182464,1777396,14825187,0.038214014,0.003922976,7007315.1692699995,7.1100316,70.6832374,0.71100316,7.068323739999999,-6.35732058,1.6795202892559561e-07,1.6360337622996205e-06,Sudan
Upper Nile,1.1172140938611605e-07,4.428063591332293e-07,5.303711103700689e-09,2.9288355271077616e-08,0.552158625,2.18851651,143,720,79078779,1.548e-05,3.0745e-06,37372347.56944,0.00552158625,0.0218851651,0.000552158625,0.00218851651,-0.0016363578850000001,1.3162673259580066e-10,6.627359962865489e-10,South Sudan
