geometry,tile_id,country,region,pos_sig_diff,neg_sig_diff,pos_nonsig_diff,neg_nonsig_diff
"POLYGON ((-3.2938227084382454 10.180906553354577, -2.9943842803984047 10.180906553354577, -2.9943842803984047 10.480344981394417, -3.2938227084382454 10.480344981394417, -3.2938227084382454 10.180906553354577))",-4_11_4,BFA,Sud-Ouest,3.3867485930112656e-05,2.77789971151323e-05,1.2678081263805265e-05,0.0
"POLYGON ((-3.2938227084382454 10.480344981394417, -2.9943842803984047 10.480344981394417, -2.9943842803984047 10.779783409434257, -3.2938227084382454 10.779783409434257, -3.2938227084382454 10.480344981394417))",-4_11_7,BFA,Sud-Ouest,6.408703201428209e-05,0.00012171464156083452,3.3917396207751565e-05,0.0
"POLYGON ((-2.9943842803984047 9.881468125314736, -2.694945852358564 9.881468125314736, -2.694945852358564 10.180906553354577, -2.9943842803984047 10.180906553354577, -2.9943842803984047 9.881468125314736))",-4_11_2,BFA,Sud-Ouest,7.396436485047791e-05,1.85941476795079e-05,0.0001381220971713899,0.0
"POLYGON ((-2.9943842803984047 10.180906553354577, -2.694945852358564 10.180906553354577, -2.694945852358564 10.480344981394417, -2.9943842803984047 10.480344981394417, -2.9943842803984047 10.180906553354577))",-4_11_5,BFA,Sud-Ouest,5.1283843540520566e-05,6.931879623215016e-05,6.636783382314896e-05,0.0
"POLYGON ((-2.9943842803984047 10.480344981394417, -2.694945852358564 10.480344981394417, -2.694945852358564 10.779783409434257, -2.9943842803984047 10.779783409434257, -2.9943842803984047 10.480344981394417))",-4_11_8,BFA,Sud-Ouest,0.00013552469520145523,7.135023483853985e-05,0.00014941325392447302,0.0
"POLYGON ((-2.694945852358564 9.881468125314736, -2.3955074243187235 9.881468125314736, -2.3955074243187235 10.180906553354577, -2.694945852358564 10.180906553354577, -2.694945852358564 9.881468125314736))",-3_11_0,GHA,Upper West,0.00017762817086957317,2.1464852954932372e-05,0.0003839673123199896,0.0
"POLYGON ((-2.694945852358564 10.180906553354577, -2.3955074243187235 10.180906553354577, -2.3955074243187235 10.480344981394417, -2.694945852358564 10.480344981394417, -2.694945852358564 10.180906553354577))",-3_11_3,GHA,Upper West,0.0001272825214695226,1.2141612165661205e-05,0.00021356660910868696,0.0
"POLYGON ((-2.694945852358564 10.480344981394417, -2.3955074243187235 10.480344981394417, -2.3955074243187235 10.779783409434257, -2.694945852358564 10.779783409434257, -2.694945852358564 10.480344981394417))",-3_11_6,GHA,Upper West,9.86673820800182e-05,5.6700323274695454e-05,0.00015356727947201654,0.0
"POLYGON ((-2.3955074243187235 9.881468125314736, -2.096068996278883 9.881468125314736, -2.096068996278883 10.180906553354577, -2.3955074243187235 10.180906553354577, -2.3955074243187235 9.881468125314736))",-3_11_1,GHA,Upper West,4.4070342871138826e-05,3.884155272177701e-05,0.00016685523320411996,0.0
"POLYGON ((-2.3955074243187235 10.480344981394417, -2.096068996278883 10.480344981394417, -2.096068996278883 10.779783409434257, -2.3955074243187235 10.779783409434257, -2.3955074243187235 10.480344981394417))",-3_11_7,GHA,Upper West,1.0841890826027582e-05,8.954502213011188e-05,5.837169693925857e-06,0.0
"POLYGON ((-2.096068996278883 9.881468125314736, -1.796630568239043 9.881468125314736, -1.796630568239043 10.180906553354577, -2.096068996278883 10.180906553354577, -2.096068996278883 9.881468125314736))",-3_11_2,GHA,Upper West,4.125619475521901e-06,1.0253671927360216e-05,6.389361579358788e-05,0.0
"POLYGON ((-2.096068996278883 10.180906553354577, -1.796630568239043 10.180906553354577, -1.796630568239043 10.480344981394417, -2.096068996278883 10.480344981394417, -2.096068996278883 10.180906553354577))",-3_11_5,GHA,Upper West,3.0142166858951933e-06,8.821455073000829e-05,1.3525279201941675e-05,0.0
"POLYGON ((-2.096068996278883 10.480344981394417, -1.796630568239043 10.480344981394417, -1.796630568239043 10.779783409434257, -2.096068996278883 10.779783409434257, -2.096068996278883 10.480344981394417))",-3_11_8,GHA,Upper West,7.847310448673114e-05,0.00046347615078776074,0.00011286307049538608,0.0
"POLYGON ((-1.796630568239043 9.881468125314736, -1.4971921401992023 9.881468125314736, -1.4971921401992023 10.180906553354577, -1.796630568239043 10.180906553354577, -1.796630568239043 9.881468125314736))",-2_11_0,GHA,Northern East,2.3390633483536805e-06,5.6161544544797254e-06,5.740909615086137e-05,0.0
"POLYGON ((-1.796630568239043 10.180906553354577, -1.4971921401992023 10.180906553354577, -1.4971921401992023 10.480344981394417, -1.796630568239043 10.480344981394417, -1.796630568239043 10.180906553354577))",-2_11_3,GHA,Northern East,5.84989891438901e-06,6.17123353399248e-05,6.579528259333677e-05,0.0
"POLYGON ((-1.796630568239043 10.480344981394417, -1.4971921401992023 10.480344981394417, -1.4971921401992023 10.779783409434257, -1.796630568239043 10.779783409434257, -1.796630568239043 10.480344981394417))",-2_11_6,GHA,Upper East,7.122496747690687e-07,0.00016999636944266497,0.0,3.525142160003298e-05
"POLYGON ((-1.4971921401992023 9.881468125314736, -1.1977537121593618 9.881468125314736, -1.1977537121593618 10.180906553354577, -1.4971921401992023 10.180906553354577, -1.4971921401992023 9.881468125314736))",-2_11_1,GHA,Northern East,1.0492111889151382e-05,0.0003525117698414649,0.0,8.434257173627558e-05
"POLYGON ((-1.4971921401992023 10.180906553354577, -1.1977537121593618 10.180906553354577, -1.1977537121593618 10.480344981394417, -1.4971921401992023 10.480344981394417, -1.4971921401992023 10.180906553354577))",-2_11_4,GHA,Northern East,1.9399755676524538e-05,0.00040252135632555443,0.0,6.354968342586179e-05
"POLYGON ((-1.4971921401992023 10.480344981394417, -1.1977537121593618 10.480344981394417, -1.1977537121593618 10.779783409434257, -1.4971921401992023 10.779783409434257, -1.4971921401992023 10.480344981394417))",-2_11_7,GHA,Northern East,3.564023235307724e-05,0.00017846975177559748,2.0477941253912673e-05,0.0
"POLYGON ((-1.1977537121593618 9.881468125314736, -0.898315284119521 9.881468125314736, -0.898315284119521 10.180906553354577, -1.1977537121593618 10.180906553354577, -1.1977537121593618 9.881468125314736))",-2_11_2,GHA,Northern East,1.998013644166533e-05,0.00021234969254466655,0.0,7.849343418655635e-05
"POLYGON ((-1.1977537121593618 10.180906553354577, -0.898315284119521 10.180906553354577, -0.898315284119521 10.480344981394417, -1.1977537121593618 10.480344981394417, -1.1977537121593618 10.180906553354577))",-2_11_5,GHA,Northern East,4.842063926332135e-05,0.00033146750520067215,0.0,0.00016617002598242944
"POLYGON ((-1.1977537121593618 10.480344981394417, -0.898315284119521 10.480344981394417, -0.898315284119521 10.779783409434257, -1.1977537121593618 10.779783409434257, -1.1977537121593618 10.480344981394417))",-2_11_8,GHA,Northern East,2.5326571142696367e-05,0.00018272336673086739,0.0,3.8075480599004736e-05
"POLYGON ((-0.898315284119521 9.881468125314736, -0.5988768560796807 9.881468125314736, -0.5988768560796807 10.180906553354577, -0.898315284119521 10.180906553354577, -0.898315284119521 9.881468125314736))",-1_11_0,GHA,Northern East,6.674024928153625e-05,0.00023866262311417218,0.00011655402260113565,0.0
"POLYGON ((-0.898315284119521 10.180906553354577, -0.5988768560796807 10.180906553354577, -0.5988768560796807 10.480344981394417, -0.898315284119521 10.480344981394417, -0.898315284119521 10.180906553354577))",-1_11_3,GHA,Northern East,0.00015409419663723088,0.0003342307140486027,0.0001705948604903137,0.0
"POLYGON ((-0.898315284119521 10.480344981394417, -0.5988768560796807 10.480344981394417, -0.5988768560796807 10.779783409434257, -0.898315284119521 10.779783409434257, -0.898315284119521 10.480344981394417))",-1_11_6,GHA,Northern East,5.8785247620711927e-05,0.00020760225064951962,4.420024421859422e-05,0.0
"POLYGON ((-0.5988768560796807 9.881468125314736, -0.2994384280398403 9.881468125314736, -0.2994384280398403 10.180906553354577, -0.5988768560796807 10.180906553354577, -0.5988768560796807 9.881468125314736))",-1_11_1,GHA,Northern East,7.436971637474645e-05,0.000266281767774877,8.710661914245057e-05,0.0
"POLYGON ((-0.5988768560796807 10.180906553354577, -0.2994384280398403 10.180906553354577, -0.2994384280398403 10.480344981394417, -0.5988768560796807 10.480344981394417, -0.5988768560796807 10.180906553354577))",-1_11_4,GHA,Northern East,0.0002401344143352964,0.00032810571884828925,0.0002916462672085519,0.0
"POLYGON ((-0.5988768560796807 10.480344981394417, -0.2994384280398403 10.480344981394417, -0.2994384280398403 10.779783409434257, -0.5988768560796807 10.779783409434257, -0.5988768560796807 10.480344981394417))",-1_11_7,GHA,Northern East,0.00013964202793840603,0.0002484229786955006,8.018496772508038e-05,0.0
